season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2021/22,1,NK Hajduk 1932,18,16,2,0,76,14,62,50
2021/22,2,NK Putniković,18,11,1,6,38,28,10,34
2021/22,3,NK Omladinac Lastovo,18,10,3,5,44,27,17,33
2021/22,4,NK Grk,18,10,3,5,46,28,18,31
2021/22,5,NA Libertas,18,9,2,7,37,30,7,29
2021/22,6,NK Faraon,18,6,3,9,33,43,-10,21
2021/22,7,NK SOŠK 1919,18,5,3,10,28,46,-18,18
2021/22,8,NK Ponikve,18,5,2,11,26,40,-14,17
2021/22,9,NK Enkel,18,5,1,12,29,48,-19,16
2021/22,10,HNK Rat,18,1,4,13,18,71,-53,7
