season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2016/17,1,NK Župa dubrovačka,24,17,4,3,45,12,33,55
2016/17,2,NK Croatia Gabrili,24,17,2,5,66,26,40,53
2016/17,3,NK Gusar,24,14,6,4,53,19,34,48
2016/17,4,NK Orebić,24,10,7,7,48,33,15,37
2016/17,5,ONK Metković,24,10,6,8,38,32,6,36
2016/17,6,NK Hajduk 1932,24,11,3,10,36,46,-10,36
2016/17,7,NK Maestral,24,9,8,7,37,34,3,35
2016/17,8,HNK Slaven Gruda,24,10,4,10,34,31,3,34
2016/17,9,NK Grk,24,11,1,12,37,56,-19,34
2016/17,10,NK Jadran Smokvica,24,6,7,11,33,43,-10,25
2016/17,11,HNK Konavljanin,24,7,3,14,32,45,-13,24
2016/17,12,NK Omladinac Lastovo,24,3,3,18,18,60,-42,12
2016/17,13,NK Žrnovo,24,2,4,18,14,54,-40,10
