season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2023/24,1,NK Hajduk 1932,18,15,0,3,80,16,64,45
2023/24,2,NK Omladinac Lastovo,18,14,1,3,53,18,35,43
2023/24,3,NK Ponikve,18,9,3,6,39,28,11,30
2023/24,4,NK Enkel,18,9,1,8,31,36,-5,28
2023/24,5,HNK Rat,18,9,0,9,40,48,-8,27
2023/24,6,NK Grk,18,9,2,7,38,29,9,24
2023/24,7,NA Libertas,18,6,4,8,20,32,-12,22
2023/24,8,NK Faraon,18,7,1,10,33,48,-15,22
2023/24,9,NK Putniković,18,5,0,13,23,53,-30,15
2023/24,10,NK SOŠK 1919,18,1,0,17,7,56,-49,3
