season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2017/18,1,NK Neretva,25,19,2,4,102,20,82,59
2017/18,2,NK Orebić,25,18,3,4,49,14,35,57
2017/18,3,NK Gusar,25,16,5,4,55,20,35,53
2017/18,4,NK Župa dubrovačka,25,14,6,5,51,19,32,48
2017/18,5,NK Croatia Gabrili,25,14,3,8,45,26,19,45
2017/18,6,HNK Konavljanin,25,13,3,9,47,47,0,42
2017/18,7,NK Hajduk 1932,25,11,4,10,46,52,-6,37
2017/18,8,NK Jadran Smokvica,25,9,5,11,41,57,-16,32
2017/18,9,ONK Metković,25,9,4,12,31,44,-13,31
2017/18,10,HNK Slaven Gruda,25,8,4,13,36,47,-11,28
2017/18,11,NK Grk,25,6,4,15,30,63,-33,22
2017/18,12,NK Žrnovo,25,4,3,18,25,70,-45,15
2017/18,13,NK Omladinac Lastovo,25,1,4,20,20,79,-59,7
2017/18,14,NK Maestral,13,2,0,11,11,31,-20,5
