season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2023/24,1,NK Župa dubrovačka,22,14,3,5,51,20,31,45
2023/24,2,HNK Konavljanin,22,14,3,5,47,19,28,45
2023/24,3,HNK Slaven Gruda,22,12,5,5,58,19,39,41
2023/24,4,NK Sokol (D),22,12,4,6,50,27,23,40
2023/24,5,ONK Metković,22,11,3,8,32,26,6,36
2023/24,6,NK Croatia Gabrili,22,10,3,9,49,36,13,33
2023/24,7,NK Gusar,22,8,5,9,37,37,0,29
2023/24,8,BŠK Zmaj,22,8,5,9,26,34,-8,29
2023/24,9,NK Jadran Smokvica,22,8,3,11,28,50,-22,27
2023/24,10,NK Orebić,22,7,1,14,27,70,-43,22
2023/24,11,NK Maestral,22,5,2,15,23,56,-33,17
2023/24,12,NK Žrnovo,22,3,3,16,24,58,-34,12
