season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2024/25,1,HNK Konavljanin,22,17,5,0,62,10,52,56
2024/25,2,NK Sokol (D),22,12,6,4,43,20,23,42
2024/25,3,NK Croatia Gabrili,22,12,3,7,39,34,5,39
2024/25,4,NK Gusar,22,10,6,6,41,26,15,36
2024/25,5,HNK Slaven Gruda,22,8,7,7,39,34,5,31
2024/25,6,ONK Metković,22,9,3,10,47,40,7,30
2024/25,7,NK Orebić,22,9,3,10,55,54,1,30
2024/25,8,NK Hajduk 1932,22,7,5,10,30,34,-4,26
2024/25,9,NK Župa dubrovačka,22,7,5,10,34,39,-5,26
2024/25,10,BŠK Zmaj,22,6,6,10,34,45,-11,24
2024/25,11,NK Maestral,22,7,2,13,35,70,-35,23
2024/25,12,NK Jadran Smokvica,22,1,3,18,21,74,-53,6
