season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2019/20,1,NK Orebić,12,8,4,0,32,14,18,28
2019/20,2,NK Croatia Gabrili,11,7,2,2,29,9,20,23
2019/20,3,ONK Metković,12,7,2,3,22,14,8,23
2019/20,4,NK Gusar,12,6,2,4,34,17,17,20
2019/20,5,NK Župa dubrovačka,12,4,4,4,15,15,0,16
2019/20,6,HNK Slaven Gruda,12,4,3,5,16,15,1,15
2019/20,7,NK Sokol (D),12,3,4,5,14,21,-7,13
2019/20,8,NK Hajduk 1932,12,3,4,5,17,26,-9,13
2019/20,9,NK Žrnovo,12,3,4,5,14,23,-9,13
2019/20,10,NK Maestral,11,3,3,5,18,22,-4,12
2019/20,11,NK Jadran Smokvica,12,3,2,7,15,35,-20,11
2019/20,12,HNK Konavljanin,12,1,4,7,14,29,-15,7
