season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2025/26,1,HNK Konavljanin,20,15,5,0,46,18,28,50
2025/26,2,NK Gusar,19,11,3,5,44,28,16,36
2025/26,3,BŠK Zmaj,20,10,5,5,49,24,25,35
2025/26,4,HNK Slaven Gruda,20,9,6,5,39,28,11,33
2025/26,5,ONK Metković,20,9,5,6,52,31,21,32
2025/26,6,NK Orebić,20,9,5,6,46,39,7,32
2025/26,7,NK Župa dubrovačka,20,9,4,7,33,30,3,31
2025/26,8,NK Hajduk 1932,20,6,5,9,22,38,-16,23
2025/26,9,NK Sokol (D),20,6,2,12,39,37,2,20
2025/26,10,NK Croatia Gabrili,20,5,2,13,33,46,-13,17
2025/26,11,NK Maestral,20,5,4,11,27,50,-23,16
2025/26,12,NK Omladinac Lastovo,19,1,2,16,9,70,-61,5
