season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2022/23,1,HNK Slaven Gruda,22,16,4,2,49,14,35,52
2022/23,2,HNK Konavljanin,22,13,2,7,43,16,27,41
2022/23,3,NK Gusar,22,11,3,8,46,33,13,36
2022/23,4,NK Croatia Gabrili,22,10,5,7,41,34,7,35
2022/23,5,ONK Metković,22,9,3,10,33,35,-2,30
2022/23,6,NK Sokol (D),22,8,6,8,35,30,5,28
2022/23,7,NK Župa dubrovačka,22,8,4,10,32,31,1,28
2022/23,8,NK Jadran Smokvica,22,8,2,12,27,41,-14,26
2022/23,9,NK Maestral,22,8,2,12,29,47,-18,26
2022/23,10,NK Orebić,22,7,4,11,27,45,-18,25
2022/23,11,NK Žrnovo,22,6,5,11,24,47,-23,23
2022/23,12,NK Hajduk 1932,22,6,4,12,22,35,-13,22
