season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2018/19,1,NK Croatia Gabrili,22,15,3,4,49,17,32,48
2018/19,2,NK Župa dubrovačka,22,14,2,6,45,25,20,44
2018/19,3,HNK Slaven Gruda,22,14,1,7,40,21,19,43
2018/19,4,NK Gusar,22,12,3,7,47,25,22,39
2018/19,5,ONK Metković,22,11,6,5,34,20,14,39
2018/19,6,NK Jadran Smokvica,22,9,1,12,42,39,3,26
2018/19,7,NK Orebić,22,7,5,10,23,30,-7,26
2018/19,8,HNK Konavljanin,22,7,3,12,24,44,-20,24
2018/19,9,NK Hajduk 1932,22,6,6,10,27,42,-15,22
2018/19,10,NK Sokol (D),22,5,6,11,25,41,-16,21
2018/19,11,NK Žrnovo,22,5,5,12,17,45,-28,20
2018/19,12,NK Grk,22,5,3,14,26,50,-24,18
