season,position,club,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2021/22,1,ONK Metković,22,16,4,2,49,10,39,52
2021/22,2,HNK Slaven Gruda,22,13,6,3,39,16,23,45
2021/22,3,NK Croatia Gabrili,22,12,3,7,50,25,25,39
2021/22,4,NK Gusar,22,11,4,7,37,34,3,35
2021/22,5,HNK Konavljanin,22,9,5,8,37,30,7,32
2021/22,6,NK Orebić,22,8,7,7,33,35,-2,31
2021/22,7,NK Sokol (D),22,8,5,9,34,39,-5,29
2021/22,8,NK Župa dubrovačka,22,8,2,12,28,36,-8,26
2021/22,9,NK Žrnovo,22,7,4,11,29,41,-12,25
2021/22,10,NK Jadran Smokvica,22,7,3,12,27,43,-16,24
2021/22,11,NK Maestral,22,7,0,15,30,61,-31,21
2021/22,12,BŠK Zmaj,22,3,3,16,29,52,-23,12
